Timestamp,LinAccX,LinAccY,LinAccZ,QuatI,QuatJ,QuatK,QuatReal,Label
1772361035341,-0.02,-0.06,-0.04,0.34,-0.85,-0.37,0.1707,3
1772361035346,0.02,-0.02,0.0,0.34,-0.85,-0.37,0.1707,3
1772361035351,0.02,0.02,0.0,0.34,-0.85,-0.37,0.1707,3
1772361035356,-0.02,0.02,0.0,0.34,-0.85,-0.37,0.1707,3
1772361035361,-0.02,0.02,0.0,0.34,-0.85,-0.37,0.1707,3
1772361035366,-0.02,0.02,0.0,0.34,-0.85,-0.37,0.1707,3
1772361035371,0.02,-0.02,0.04,0.34,-0.85,-0.37,0.1707,3
1772361035376,0.02,-0.02,0.04,0.34,-0.85,-0.37,0.1707,3
1772361035381,-0.02,-0.02,0.0,0.34,-0.85,-0.37,0.1707,3
1772361035386,0.02,0.02,0.0,0.34,-0.85,-0.37,0.1707,3
1772361035391,0.02,-0.02,0.04,0.34,-0.85,-0.37,0.1707,3
1772361035396,-0.02,0.02,-0.04,0.34,-0.85,-0.37,0.1707,3
1772361035401,0.02,0.02,0.0,0.34,-0.85,-0.37,0.1707,3
1772361035406,-0.02,-0.02,-0.04,0.34,-0.85,-0.37,0.1707,3
1772361035411,-0.02,-0.02,-0.04,0.34,-0.85,-0.37,0.1707,3
1772361035416,0.02,-0.02,0.0,0.34,-0.85,-0.37,0.1707,3
1772361035421,0.02,0.02,-0.04,0.34,-0.85,-0.37,0.1707,3
1772361035427,0.02,0.02,-0.04,0.34,-0.85,-0.37,0.1707,3
1772361035432,-0.02,0.02,0.0,0.34,-0.85,-0.37,0.1707,3
1772361035436,0.02,-0.02,0.0,0.34,-0.85,-0.37,0.1707,3
1772361035442,0.02,0.02,0.04,0.34,-0.85,-0.37,0.1707,3
1772361035447,0.02,-0.02,-0.04,0.34,-0.85,-0.37,0.1707,3
1772361035451,-0.02,0.02,0.0,0.34,-0.85,-0.37,0.1707,3
1772361035456,0.02,0.02,-0.04,0.34,-0.85,-0.37,0.1707,3
1772361035461,-0.02,0.02,0.0,0.34,-0.85,-0.37,0.1707,3
1772361035467,-0.02,-0.02,0.04,0.34,-0.85,-0.37,0.1707,3
1772361035472,0.02,0.02,0.0,0.34,-0.85,-0.37,0.1707,3
1772361035476,0.02,0.02,0.0,0.34,-0.85,-0.37,0.1707,3
1772361035481,-0.02,-0.02,0.0,0.34,-0.85,-0.37,0.1707,3
1772361035486,0.02,-0.02,-0.04,0.34,-0.85,-0.37,0.1707,3
1772361035491,-0.02,-0.02,0.04,0.34,-0.85,-0.37,0.1707,3
1772361035496,-0.02,0.02,-0.04,0.34,-0.85,-0.37,0.1707,3
1772361035501,0.02,-0.02,-0.04,0.34,-0.85,-0.37,0.1707,3
1772361035506,0.02,-0.02,0.04,0.34,-0.85,-0.37,0.1707,3
1772361035512,0.02,0.02,0.0,0.34,-0.85,-0.37,0.1707,3
1772361035516,-0.02,-0.02,-0.08,0.34,-0.85,-0.37,0.1707,3
1772361035521,-0.02,-0.02,0.0,0.34,-0.85,-0.37,0.1707,3
1772361035526,-0.02,0.02,-0.03,0.34,-0.85,-0.37,0.1707,3
1772361035531,0.02,0.02,0.01,0.34,-0.85,-0.37,0.1707,3
1772361035536,0.02,0.02,0.01,0.34,-0.85,-0.37,0.1707,3
1772361035541,-0.02,0.02,0.01,0.34,-0.85,-0.37,0.1707,3
1772361035546,-0.02,0.02,0.01,0.34,-0.85,-0.37,0.1707,3
1772361035551,0.02,-0.02,0.04,0.34,-0.85,-0.37,0.1707,3
1772361035556,0.02,-0.02,0.04,0.34,-0.85,-0.37,0.1707,3
1772361035561,0.02,0.02,0.04,0.34,-0.85,-0.37,0.1707,3
1772361035566,-0.02,-0.02,-0.03,0.34,-0.85,-0.37,0.1707,3
1772361035571,0.02,-0.02,-0.07,0.34,-0.85,-0.37,0.1707,3
1772361035576,0.02,0.02,0.04,0.34,-0.85,-0.37,0.1707,3
1772361035581,-0.02,-0.02,0.01,0.34,-0.85,-0.37,0.1707,3
1772361035586,-0.02,-0.02,0.08,0.34,-0.85,-0.37,0.1707,3
1772361035591,-0.02,-0.02,0.04,0.34,-0.85,-0.37,0.1707,3
1772361035596,0.02,-0.02,0.01,0.34,-0.85,-0.37,0.1707,3
1772361035601,0.02,0.02,0.01,0.34,-0.85,-0.37,0.1707,3
1772361035606,0.02,0.02,0.04,0.34,-0.85,-0.37,0.1707,3
1772361035611,0.02,-0.02,0.0,0.34,-0.85,-0.37,0.1707,3
1772361035616,-0.02,0.02,-0.04,0.34,-0.85,-0.37,0.1707,3
1772361035621,-0.02,-0.02,0.0,0.34,-0.85,-0.37,0.1707,3
1772361035626,-0.02,-0.02,0.0,0.34,-0.85,-0.37,0.1707,3
1772361035631,-0.02,-0.01,0.0,0.34,-0.85,-0.37,0.1707,3
1772361035636,0.05,0.03,0.0,0.34,-0.85,-0.37,0.1707,3
1772361038743,0.39,0.3,-0.23,0.11,0.92,0.38,0.0589,3
1772361038748,0.39,0.27,-0.23,0.11,0.92,0.38,0.0589,3
1772361038753,0.46,0.15,-0.08,0.11,0.92,0.38,0.0589,3
1772361038758,0.46,0.15,-0.16,0.11,0.92,0.38,0.0589,3
1772361038763,0.38,0.19,-0.22,0.11,0.92,0.38,0.0589,3
1772361038768,0.46,0.19,-0.22,0.11,0.92,0.38,0.0589,3
1772361038773,0.46,0.27,-0.22,0.11,0.92,0.38,0.0589,3
1772361038779,0.41,0.3,-0.18,0.11,0.92,0.38,0.0589,3
1772361038783,0.42,0.3,-0.22,0.11,0.92,0.38,0.0589,3
1772361038788,0.42,0.27,-0.18,0.11,0.92,0.38,0.0589,3
1772361038793,0.41,0.22,-0.11,0.11,0.92,0.38,0.0589,3
1772361038799,0.41,0.18,-0.11,0.11,0.92,0.38,0.0589,3
1772361038803,0.41,0.18,-0.07,0.11,0.92,0.38,0.0589,3
1772361038808,0.41,0.18,-0.07,0.11,0.92,0.38,0.0589,3
1772361038813,0.37,0.18,-0.07,0.11,0.92,0.38,0.0589,3
1772361038818,0.37,0.23,-0.07,0.11,0.92,0.38,0.0589,3
1772361038823,0.41,0.22,-0.11,0.11,0.92,0.38,0.0589,3
1772361038828,0.45,0.22,-0.11,0.11,0.92,0.38,0.0589,3
1772361038833,0.45,0.26,-0.15,0.11,0.92,0.38,0.0589,3
1772361038838,0.45,0.23,-0.15,0.11,0.92,0.38,0.0589,3
1772361038843,0.41,0.15,-0.15,0.11,0.92,0.38,0.0589,3
1772361038848,0.41,0.19,-0.14,0.11,0.92,0.38,0.0589,3
1772361038853,0.44,0.18,-0.14,0.11,0.92,0.38,0.0589,3
1772361038858,0.4,0.18,-0.18,0.11,0.92,0.38,0.0589,3
1772361038863,0.4,0.22,-0.21,0.11,0.92,0.38,0.0589,3
1772361038868,0.4,0.23,-0.13,0.11,0.92,0.38,0.0589,3
1772361038873,-0.01,0.0,-0.09,0.11,0.92,0.38,0.0589,3
1772361038878,-0.01,-0.04,-0.09,0.11,0.92,0.38,0.0589,3
1772361038884,0.0,-0.09,-0.09,0.11,0.92,0.38,0.0589,3
1772361038888,0.0,-0.08,-0.02,0.11,0.92,0.38,0.0589,3
1772361038893,-0.04,-0.09,0.02,0.11,0.92,0.38,0.0589,3
1772361038899,-0.04,-0.09,0.02,0.11,0.92,0.38,0.0589,3
1772361038904,0.0,-0.09,0.02,0.11,0.92,0.38,0.0589,3
1772361038908,0.04,-0.09,0.02,0.11,0.92,0.38,0.0589,3
1772361038913,0.0,-0.05,0.02,0.11,0.92,0.38,0.0589,3
1772361038919,0.12,-0.12,-0.02,0.11,0.92,0.38,0.0589,3
1772361038924,0.04,-0.01,0.09,0.11,0.92,0.38,0.0589,3
1772361038928,-0.07,0.0,-0.1,0.11,0.92,0.38,0.0589,3
1772361038933,0.08,-0.08,0.05,0.11,0.92,0.38,0.0589,3
1772361038939,0.04,0.0,-0.02,0.11,0.92,0.38,0.0589,3
1772361038944,0.0,0.05,-0.05,0.11,0.92,0.38,0.0589,3
1772361038949,-0.01,0.01,-0.02,0.11,0.92,0.38,0.0589,3
1772361038954,-0.05,0.01,0.02,0.11,0.92,0.38,0.0589,3
1772361038959,0.0,-0.02,-0.02,0.11,0.92,0.38,0.0589,3
1772361038964,0.0,-0.02,-0.02,0.11,0.92,0.38,0.0589,3
1772361038968,-0.04,-0.06,0.1,0.11,0.92,0.38,0.0589,3
1772361038973,0.0,-0.1,0.1,0.11,0.92,0.38,0.0589,3
1772361038979,0.0,-0.06,0.06,0.11,0.92,0.38,0.0589,3
1772361038984,0.03,-0.02,0.06,0.11,0.92,0.38,0.0589,3
1772361038989,-0.01,0.02,0.1,0.11,0.92,0.38,0.0589,3
1772361038994,-0.01,-0.06,0.07,0.11,0.92,0.38,0.0589,3
1772361038999,0.08,-0.02,0.07,0.11,0.92,0.38,0.0589,3
1772361039004,-0.01,-0.06,0.03,0.11,0.92,0.38,0.0589,3
1772361039008,0.04,-0.06,0.03,0.11,0.92,0.38,0.0589,3
1772361039014,0.0,-0.05,-0.01,0.11,0.92,0.38,0.0589,3
1772361039019,-0.04,-0.05,-0.08,0.11,0.92,0.38,0.0589,3
1772361039024,0.03,-0.08,-0.11,0.11,0.92,0.38,0.0589,3
1772361039029,-0.05,-0.04,-0.07,0.11,0.92,0.38,0.0589,3
1772361039034,-0.05,0.0,-0.04,0.11,0.92,0.38,0.0589,3
1772361039039,-0.04,0.01,-0.14,0.11,0.92,0.38,0.0589,3
1772361039044,0.0,0.01,-0.11,0.11,0.92,0.38,0.0589,3
1772361039049,-0.04,-0.03,-0.22,0.11,0.92,0.38,0.0589,3
1772361039054,0.0,-0.03,-0.07,0.11,0.92,0.38,0.0589,3
1772361039059,-0.04,-0.03,-0.14,0.11,0.92,0.38,0.0589,3
1772361039064,0.0,-0.07,-0.11,0.11,0.92,0.38,0.0589,3
1772361039069,-0.04,-0.03,-0.07,0.11,0.92,0.38,0.0589,3
1772361039074,0.04,-0.07,0.02,0.11,0.92,0.38,0.0589,3
1772361039079,0.03,-0.07,-0.02,0.11,0.92,0.38,0.0589,3
1772361039084,0.0,-0.02,-0.07,0.11,0.92,0.38,0.0589,3
1772361039089,0.0,0.05,-0.06,0.11,0.92,0.38,0.0589,3
1772361039094,0.0,0.02,-0.06,0.11,0.92,0.38,0.0589,3
1772361039099,0.0,0.02,-0.1,0.11,0.92,0.38,0.0589,3
1772361039104,0.04,0.02,-0.06,0.11,0.92,0.38,0.0589,3
1772361039109,-0.04,0.06,-0.09,0.11,0.92,0.38,0.0589,3
1772361039114,-0.04,0.02,-0.05,0.11,0.92,0.38,0.0589,3
1772361039119,0.0,-0.02,0.02,0.11,0.92,0.38,0.0589,3
1772361039124,-0.01,-0.09,-0.02,0.11,0.92,0.38,0.0589,3
1772361039129,-0.01,-0.05,0.02,0.11,0.92,0.38,0.0589,3
1772361039134,-0.01,0.02,-0.05,0.11,0.92,0.38,0.0589,3
1772361039139,0.03,0.06,-0.09,0.11,0.92,0.38,0.0589,3
1772361039144,0.04,0.05,-0.02,0.11,0.92,0.38,0.0589,3
1772361039149,0.0,0.09,-0.01,0.11,0.92,0.38,0.0589,3
1772361039154,0.0,0.05,-0.01,0.11,0.92,0.38,0.0589,3
1772361039159,0.04,-0.06,0.07,0.11,0.92,0.38,0.0589,3
1772361039164,0.0,-0.06,0.03,0.11,0.92,0.38,0.0589,3
1772361039169,0.0,-0.06,0.03,0.11,0.92,0.38,0.0589,3
1772361039174,0.04,-0.02,0.03,0.11,0.92,0.38,0.0589,3
1772361039179,0.0,0.02,-0.01,0.11,0.92,0.38,0.0589,3
1772361039184,0.04,0.02,-0.01,0.11,0.92,0.38,0.0589,3
1772361039189,0.04,0.02,-0.04,0.11,0.92,0.38,0.0589,3
1772361039194,0.04,0.06,-0.07,0.11,0.92,0.38,0.0589,3
1772361039199,0.04,0.02,-0.04,0.11,0.92,0.38,0.0589,3
1772361039204,0.0,0.02,-0.07,0.11,0.92,0.38,0.0589,3
1772361039209,0.0,-0.05,0.04,0.11,0.92,0.38,0.0589,3
1772361039214,0.0,-0.05,0.04,0.11,0.92,0.38,0.0589,3
1772361039219,0.0,-0.05,0.04,0.11,0.92,0.38,0.0589,3
1772361039224,-0.04,-0.05,0.0,0.11,0.92,0.38,0.0589,3
1772361039229,-0.04,0.02,0.04,0.11,0.92,0.38,0.0589,3
1772361039234,0.0,-0.02,0.05,0.11,0.92,0.38,0.0589,3
1772361039239,0.03,-0.01,0.08,0.11,0.92,0.38,0.0589,3
1772361039244,0.03,-0.01,0.04,0.11,0.92,0.38,0.0589,3
1772361039249,-0.01,-0.01,0.05,0.11,0.92,0.38,0.0589,3
1772361039254,0.0,0.03,0.03,0.11,0.92,0.38,0.0589,3
1772361039259,0.0,-0.01,-0.04,0.11,0.92,0.38,0.0589,3
1772361039264,-0.01,-0.01,-0.04,0.11,0.92,0.38,0.0589,3
1772361039269,0.0,-0.01,-0.04,0.11,0.92,0.38,0.0589,3
1772361039274,-0.01,0.0,-0.02,0.11,0.92,0.38,0.0589,3
1772361039279,-0.01,0.0,-0.03,0.11,0.92,0.38,0.0589,3
1772361039284,-0.01,0.0,-0.03,0.11,0.92,0.38,0.0589,3
1772361039289,-0.01,0.0,-0.02,0.11,0.92,0.38,0.0589,3
1772361039294,-0.04,0.0,-0.02,0.11,0.92,0.38,0.0589,3
1772361039299,-0.05,0.0,-0.02,0.11,0.92,0.38,0.0589,3
1772361039304,0.0,0.0,-0.02,0.11,0.92,0.38,0.0589,3
1772361039309,0.04,-0.04,-0.02,0.11,0.92,0.38,0.0589,3
1772361039314,-0.04,-0.04,0.02,0.11,0.92,0.38,0.0589,3
1772361039319,0.0,0.0,-0.02,0.11,0.92,0.38,0.0589,3
